total profiles: 36
Priya Nandakumar          (Backend Engineering      ) -> 7 units, 0 rejected
Marcus Ojo                (Backend Engineering      ) -> 9 units, 0 rejected
Elena Kovacs              (Backend Engineering      ) -> 9 units, 0 rejected
Jamal Whitfield           (Frontend Engineering     ) -> 7 units, 0 rejected
Sofia Delgado             (Frontend Engineering     ) -> 8 units, 0 rejected
Tobias Lindqvist          (Frontend Engineering     ) -> 8 units, 0 rejected
Aditi Rao                 (Full Stack Engineering   ) -> 7 units, 0 rejected
Daniel Osei               (Full Stack Engineering   ) -> 8 units, 0 rejected
Grace Chen                (Full Stack Engineering   ) -> 9 units, 0 rejected
Noah Kim                  (AI / Machine Learning    ) -> 7 units, 0 rejected
Fatima Al-Sayed           (AI / Machine Learning    ) -> 9 units, 0 rejected
Viktor Petrov             (AI / Machine Learning    ) -> 9 units, 0 rejected
Lucas Ferreira            (Data Engineering         ) -> 7 units, 0 rejected
Ingrid Solberg            (Data Engineering         ) -> 8 units, 0 rejected
Chidi Okafor              (Data Engineering         ) -> 9 units, 0 rejected
Hana Suzuki               (Cloud / Infrastructure   ) -> 7 units, 0 rejected
Omar Haddad               (Cloud / Infrastructure   ) -> 9 units, 0 rejected
Isabella Marino           (Cloud / Infrastructure   ) -> 9 units, 0 rejected
Ryan O'Connell            (DevOps / SRE             ) -> 7 units, 0 rejected
Katarzyna Wojcik          (DevOps / SRE             ) -> 9 units, 0 rejected
Anders Berg               (DevOps / SRE             ) -> 8 units, 0 rejected
Zainab Hussain            (Cybersecurity            ) -> 7 units, 0 rejected
Diego Fuentes             (Cybersecurity            ) -> 9 units, 0 rejected
Yuki Tanaka               (Cybersecurity            ) -> 9 units, 0 rejected
Camila Rivas              (Mobile Development       ) -> 7 units, 0 rejected
Ethan Brooks              (Mobile Development       ) -> 9 units, 0 rejected
Amara Nwosu               (Mobile Development       ) -> 8 units, 0 rejected
Beatriz Lima              (QA / Test Automation     ) -> 7 units, 0 rejected
Mateusz Kaminski          (QA / Test Automation     ) -> 9 units, 0 rejected
Sarah Whitmore            (QA / Test Automation     ) -> 8 units, 0 rejected
Tomas Novak               (Embedded / IoT           ) -> 7 units, 0 rejected
Nadia Rahman              (Embedded / IoT           ) -> 8 units, 0 rejected
Hiroshi Yamamoto          (Embedded / IoT           ) -> 8 units, 0 rejected
Leilani Kahale            (Blockchain / Web3        ) -> 7 units, 0 rejected
Kwame Asante              (Blockchain / Web3        ) -> 8 units, 0 rejected
Renata Souza              (Blockchain / Web3        ) -> 9 units, 0 rejected

TOTAL UNITS: 290
TOTAL REJECTED: 0
AVG UNITS/PROFILE: 8.055555555555555
